Date,Simulated NO3,Threshold,Output
1920-10-01,0.515083739,0.5,0
1920-10-02,0.528473234,0.5,0
1920-10-03,0.541185491,0.5,0
1920-10-04,0.553241,0.5,0
1920-10-05,0.564522997,0.5,0
1920-10-06,0.575063024,0.5,0
1920-10-07,0.584895418,0.5,0
1920-10-08,0.594052859,0.5,0
1920-10-09,0.602565287,0.5,0
1920-10-10,0.610458192,0.5,0
1920-10-11,0.617758887,0.5,0
1920-10-12,0.624492336,0.5,0
1920-10-13,0.630682613,0.5,0
1920-10-14,0.636353438,0.5,0
1920-10-15,0.641527151,0.5,0
1920-10-16,0.646225093,0.5,0
1920-10-17,0.650468441,0.5,0
1920-10-18,0.654276984,0.5,0
1920-10-19,0.65766995,0.5,0
1920-10-20,0.66066587,0.5,0
1920-10-21,0.663282268,0.5,0
1920-10-22,0.665839063,0.5,0
1920-10-23,0.668089156,0.5,0
1920-10-24,0.669988715,0.5,0
1920-10-25,0.671959858,0.5,0
1920-10-26,0.67432431,0.5,0
1920-10-27,0.674935302,0.5,0
1920-10-28,0.682587417,0.5,0
1920-10-29,0.751906178,0.5,0
1920-10-30,0.743986906,0.5,0
1920-10-31,0.736315684,0.5,0
1920-11-01,0.70800879,0.5,0
1920-11-02,0.709078231,0.5,0
1920-11-03,0.709619694,0.5,0
1920-11-04,0.710310477,0.5,0
1920-11-05,0.710889122,0.5,0
1920-11-06,0.711565285,0.5,0
1920-11-07,0.712093406,0.5,0
1920-11-08,0.712505338,0.5,0
1920-11-09,0.725409557,0.5,0
1920-11-10,0.724092606,0.5,0
1920-11-11,0.721238172,0.5,0
1920-11-12,0.719816843,0.5,0
1920-11-13,0.74058923,0.5,0
1920-11-14,0.736710311,0.5,0
1920-11-15,0.734589815,0.5,0
1920-11-16,0.73212112,0.5,0
1920-11-17,0.728938339,0.5,0
1920-11-18,0.725069262,0.5,0
1920-11-19,0.721216054,0.5,0
1920-11-20,0.718157604,0.5,0
1920-11-21,0.715524651,0.5,0
1920-11-22,0.712711371,0.5,0
1920-11-23,0.710215226,0.5,0
1920-11-24,0.707763771,0.5,0
1920-11-25,0.705585514,0.5,0
1920-11-26,0.703560471,0.5,0
1920-11-27,0.701559922,0.5,0
1920-11-28,0.699543418,0.5,0
1920-11-29,0.697392352,0.5,0
1920-11-30,0.695315228,0.5,0
1920-12-01,0.692719237,0.5,0
1920-12-02,0.690375469,0.5,0
1920-12-03,0.687890289,0.5,0
1920-12-04,0.685265615,0.5,0
1920-12-05,0.682498836,0.5,0
1920-12-06,0.679588755,0.5,0
1920-12-07,0.676592617,0.5,0
1920-12-08,0.67354786,0.5,0
1920-12-09,0.670387347,0.5,0
1920-12-10,0.667731855,0.5,0
1920-12-11,0.664385602,0.5,0
1920-12-12,0.66077759,0.5,0
1920-12-13,0.660261594,0.5,0
1920-12-14,0.656385164,0.5,0
1920-12-15,0.65241441,0.5,0
1920-12-16,0.648247004,0.5,0
1920-12-17,0.644174775,0.5,0
1920-12-18,0.640133128,0.5,0
1920-12-19,0.636089919,0.5,0
1920-12-20,0.631872264,0.5,0
1920-12-21,0.627610516,0.5,0
1920-12-22,0.626112245,0.5,0
1920-12-23,0.621768736,0.5,0
1920-12-24,0.617285736,0.5,0
1920-12-25,0.612668256,0.5,0
1920-12-26,0.608181061,0.5,0
1920-12-27,0.603653524,0.5,0
1920-12-28,0.599146261,0.5,0
1920-12-29,0.594601966,0.5,0
1920-12-30,0.597149214,0.5,0
1920-12-31,0.592350776,0.5,0
1921-01-01,0.586796476,0.5,0
1921-01-02,0.582626837,0.5,0
1921-01-03,0.578309999,0.5,0
1921-01-04,0.573950132,0.5,0
1921-01-05,0.57459222,0.5,0
1921-01-06,0.570056962,0.5,0
1921-01-07,0.565590727,0.5,0
1921-01-08,0.561239362,0.5,0
1921-01-09,0.557074734,0.5,0
1921-01-10,0.552552842,0.5,0
1921-01-11,0.55215565,0.5,0
1921-01-12,0.547381082,0.5,0
1921-01-13,0.542957477,0.5,0
1921-01-14,0.53851891,0.5,0
1921-01-15,0.534017023,0.5,0
1921-01-16,0.529601283,0.5,0
1921-01-17,0.525236672,0.5,0
1921-01-18,0.520916246,0.5,0
1921-01-19,0.516803274,0.5,0
1921-01-20,0.512805451,0.5,0
1921-01-21,0.50889787,0.5,0
1921-01-22,0.504975425,0.5,0
1921-01-23,0.501107638,0.5,0
1921-01-24,0.497293652,0.5,0.086832
1921-01-25,0.493532677,0.5,0.086832
1921-01-26,0.489823712,0.5,0.086832
1921-01-27,0.486104281,0.5,0.086832
1921-01-28,0.482381477,0.5,0.086832
1921-01-29,0.478659222,0.5,0.086832
1921-01-30,0.474943699,0.5,0.086832
1921-01-31,0.471242285,0.5,0.09072
1921-02-01,0.467332201,0.5,0.09072
1921-02-02,0.463427796,0.5,0.09072
1921-02-03,0.459531296,0.5,0.09072
1921-02-04,0.455698322,0.5,0.09072
1921-02-05,0.452153607,0.5,0.09072
1921-02-06,0.448582472,0.5,0.09072
1921-02-07,0.444983734,0.5,0.09072
1921-02-08,0.441347363,0.5,0.09072
1921-02-09,0.437688739,0.5,0.09072
1921-02-10,0.434012292,0.5,0.09072
1921-02-11,0.430327546,0.5,0.09072
1921-02-12,0.426927434,0.5,0.09072
1921-02-13,0.423757448,0.5,0.09072
1921-02-14,0.42026241,0.5,0.09072
1921-02-15,0.416617421,0.5,0.09072
1921-02-16,0.412986326,0.5,0.09072
1921-02-17,0.410246803,0.5,0.09072
1921-02-18,0.406878335,0.5,0.09072
1921-02-19,0.403451365,0.5,0.09072
1921-02-20,0.40001341,0.5,0.09072
1921-02-21,0.403333907,0.5,0.09072
1921-02-22,0.401738344,0.5,0.09072
1921-02-23,0.399906931,0.5,0.09072
1921-02-24,0.398058457,0.5,0.09072
1921-02-25,0.39574034,0.5,0.09072
1921-02-26,0.393414933,0.5,0.09072
1921-02-27,0.391048203,0.5,0.09072
1921-02-28,0.388557945,0.5,0.093312
1921-03-01,0.385765139,0.5,0.093312
1921-03-02,0.383277899,0.5,0.093312
1921-03-03,0.380735871,0.5,0.093312
1921-03-04,0.378249799,0.5,0.093312
1921-03-05,0.375768738,0.5,0.093312
1921-03-06,0.37330413,0.5,0.093312
1921-03-07,0.370776505,0.5,0.093312
1921-03-08,0.368272478,0.5,0.093312
1921-03-09,0.365769899,0.5,0.093312
1921-03-10,0.366154699,0.5,0.093312
1921-03-11,0.387185733,0.5,0.093312
1921-03-12,0.419351382,0.5,0.093312
1921-03-13,0.459029626,0.5,0.093312
1921-03-14,0.469048026,0.5,0.093312
1921-03-15,0.475600924,0.5,0.093312
1921-03-16,0.47988798,0.5,0.093312
1921-03-17,0.482282079,0.5,0.093312
1921-03-18,0.483541712,0.5,0.093312
1921-03-19,0.494036313,0.5,0.093312
1921-03-20,0.495244808,0.5,0.093312
1921-03-21,0.494444158,0.5,0.093312
1921-03-22,0.493908109,0.5,0.093312
1921-03-23,0.493200844,0.5,0.093312
1921-03-24,0.492426083,0.5,0.093312
1921-03-25,0.492480748,0.5,0.093312
1921-03-26,0.492170449,0.5,0.093312
1921-03-27,0.492170799,0.5,0.093312
1921-03-28,0.492105525,0.5,0.093312
1921-03-29,0.494289477,0.5,0.093312
1921-03-30,0.493599243,0.5,0.093312
1921-03-31,0.492975083,0.5,0.0905472
1921-04-01,0.494204521,0.5,0.0905472
1921-04-02,0.493296198,0.5,0.0905472
1921-04-03,0.492248269,0.5,0.0905472
1921-04-04,0.491396555,0.5,0.0905472
1921-04-05,0.490483452,0.5,0.0905472
1921-04-06,0.489539211,0.5,0.0905472
1921-04-07,0.4885893,0.5,0.0905472
1921-04-08,0.487668355,0.5,0.0905472
1921-04-09,0.486809594,0.5,0.0905472
1921-04-10,0.485941695,0.5,0.0905472
1921-04-11,0.485001158,0.5,0.0905472
1921-04-12,0.484023305,0.5,0.0905472
1921-04-13,0.482987771,0.5,0.0905472
1921-04-14,0.481902295,0.5,0.0905472
1921-04-15,0.480808821,0.5,0.0905472
1921-04-16,0.479664942,0.5,0.0905472
1921-04-17,0.478462608,0.5,0.0905472
1921-04-18,0.477236829,0.5,0.0905472
1921-04-19,0.475968855,0.5,0.0905472
1921-04-20,0.474650334,0.5,0.0905472
1921-04-21,0.473264535,0.5,0.0905472
1921-04-22,0.471811126,0.5,0.0905472
1921-04-23,0.470289131,0.5,0.0905472
1921-04-24,0.46870428,0.5,0.0905472
1921-04-25,0.467064142,0.5,0.0905472
1921-04-26,0.465372575,0.5,0.0905472
1921-04-27,0.463639682,0.5,0.0905472
1921-04-28,0.461856342,0.5,0.0905472
1921-04-29,0.460024896,0.5,0.0905472
1921-04-30,0.458154228,0.5,0.0909792
1921-05-01,0.456931034,0.5,0.0909792
1921-05-02,0.45561972,0.5,0.0909792
1921-05-03,0.454461858,0.5,0.0909792
1921-05-04,0.453254953,0.5,0.0909792
1921-05-05,0.452002225,0.5,0.0909792
1921-05-06,0.450709135,0.5,0.0909792
1921-05-07,0.449373019,0.5,0.0909792
1921-05-08,0.447985598,0.5,0.0909792
1921-05-09,0.446542228,0.5,0.0909792
1921-05-10,0.445045779,0.5,0.0909792
1921-05-11,0.443508191,0.5,0.0909792
1921-05-12,0.441928703,0.5,0.0909792
1921-05-13,0.440311906,0.5,0.0909792
1921-05-14,0.438674491,0.5,0.0909792
1921-05-15,0.437017923,0.5,0.0909792
1921-05-16,0.435339716,0.5,0.0909792
1921-05-17,0.433646395,0.5,0.0909792
1921-05-18,0.431934025,0.5,0.0909792
1921-05-19,0.430204825,0.5,0.0909792
1921-05-20,0.42846349,0.5,0.0909792
1921-05-21,0.426707994,0.5,0.0909792
1921-05-22,0.424941267,0.5,0.0909792
1921-05-23,0.423165909,0.5,0.0909792
1921-05-24,0.421381936,0.5,0.0909792
1921-05-25,0.419586302,0.5,0.0909792
1921-05-26,0.41777824,0.5,0.0909792
1921-05-27,0.415958602,0.5,0.0909792
1921-05-28,0.414130276,0.5,0.0909792
1921-05-29,0.412291613,0.5,0.0909792
1921-05-30,0.410444689,0.5,0.0909792
1921-05-31,0.408589755,0.5,0.0922752
1921-06-01,0.406967761,0.5,0.0922752
1921-06-02,0.405343352,0.5,0.0922752
1921-06-03,0.403712523,0.5,0.0922752
1921-06-04,0.402076656,0.5,0.0922752
1921-06-05,0.400436444,0.5,0.0922752
1921-06-06,0.398790814,0.5,0.0922752
1921-06-07,0.397139949,0.5,0.0922752
1921-06-08,0.395484349,0.5,0.0922752
1921-06-09,0.393825164,0.5,0.0922752
1921-06-10,0.392163579,0.5,0.0922752
1921-06-11,0.390498153,0.5,0.0922752
1921-06-12,0.388829557,0.5,0.0922752
1921-06-13,0.387158164,0.5,0.0922752
1921-06-14,0.385485076,0.5,0.0922752
1921-06-15,0.383810256,0.5,0.0922752
1921-06-16,0.382133197,0.5,0.0922752
1921-06-17,0.38045374,0.5,0.0922752
1921-06-18,0.378773407,0.5,0.0922752
1921-06-19,0.377093236,0.5,0.0922752
1921-06-20,0.375412335,0.5,0.0922752
1921-06-21,0.373731355,0.5,0.0922752
1921-06-22,0.372050142,0.5,0.0922752
1921-06-23,0.37036961,0.5,0.0922752
1921-06-24,0.368689384,0.5,0.0922752
1921-06-25,0.367009649,0.5,0.0922752
1921-06-26,0.365330684,0.5,0.0922752
1921-06-27,0.363653721,0.5,0.0922752
1921-06-28,0.361978304,0.5,0.0922752
1921-06-29,0.360305001,0.5,0.0922752
1921-06-30,0.358633434,0.5,0.089424
1921-07-01,0.357110296,0.5,0.089424
1921-07-02,0.355611566,0.5,0.089424
1921-07-03,0.354114533,0.5,0.089424
1921-07-04,0.352618915,0.5,0.089424
1921-07-05,0.351124899,0.5,0.089424
1921-07-06,0.349632445,0.5,0.089424
1921-07-07,0.348141735,0.5,0.089424
1921-07-08,0.346652443,0.5,0.089424
