,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,[7.301448e-05],0,[4.287708e-05],[4.328478e-05],[4.824738e-05],[7.479054e-05]
4,[0.00035262],0,[0.00020707],[0.00020904],[0.00023301],[0.00036119]
5,[0.00087509],0,[0.00051389],[0.00051877],[0.00057825],[0.00089637]
6,[0.00159505],0,[0.00093668],[0.00094558],[0.00105399],[0.00163384]
7,[0.00247526],0,[0.00145357],[0.00146738],[0.00163563],[0.00253546]
8,[0.00348749],0,[0.00204798],[0.00206745],[0.0023045],[0.00357231]
9,[0.00460851],0,[0.00270629],[0.00273202],[0.00304526],[0.00472059]
10,[0.0058167],0,[0.00341578],[0.00344825],[0.00384362],[0.00595816]
11,[0.0070927],0,[0.0041651],[0.0042047],[0.00468679],[0.0072652]
12,[0.00841924],0,[0.00494408],[0.00499109],[0.00556335],[0.00862399]
13,[0.00978052],0,[0.00574348],[0.00579809],[0.00646288],[0.01001838]
14,[0.01116292],0,[0.00655527],[0.00661759],[0.00737635],[0.01143439]
15,[0.01255383],0,[0.00737206],[0.00744215],[0.00829545],[0.01285912]
16,[0.0139418],0,[0.00818713],[0.00826496],[0.00921261],[0.01428085]
17,[0.01531741],0,[0.00899494],[0.00908045],[0.0101216],[0.01568991]
18,[0.01667174],0,[0.00979024],[0.00988331],[0.01101653],[0.01707717]
19,[0.01799591],0,[0.01056785],[0.0106683],[0.01189153],[0.01843354]
20,[0.01928361],0,[0.01132403],[0.01143167],[0.01274242],[0.01975255]
21,[0.02077662],0,[0.01220078],[0.01231675],[0.01372899],[0.02128187]
22,[0.02291955],0,[0.01345918],[0.01358712],[0.01514501],[0.0234769]
23,[0.02582798],0,[0.01516711],[0.01531129],[0.01706687],[0.02645606]
24,[0.02933937],0,[0.01722912],[0.0173929],[0.01938717],[0.03005284]
25,[0.03329445],0,[0.01955168],[0.01973754],[0.02200064],[0.03410409]
26,[0.03753325],0,[0.02204085],[0.02225038],[0.0248016],[0.03844597]
27,[0.04245021],0,[0.02492826],[0.02516524],[0.02805068],[0.0434825]
28,[0.05316421],0,[0.03121988],[0.0315167],[0.03513037],[0.05445704]
29,[0.07688005],0,[0.04514663],[0.04557587],[0.05080154],[0.07874959]
30,[0.11331846],0,[0.06654451],[0.06717722],[0.07487966],[0.11607408]
31,[0.15134261],0,[0.08887359],[0.08971861],[0.10000561],[0.15502288]
32,[0.18319885],0,[0.10758064],[0.10860356],[0.12105586],[0.18765375]
33,[0.20808978],0,[0.12219744],[0.12335936],[0.1375035],[0.21314995]
34,[0.22582775],0,[0.13261379],[0.13387476],[0.14922457],[0.23131927]
35,[0.23770021],0,[0.13958568],[0.14091294],[0.15706975],[0.24348043]
36,[0.24498494],0,[0.14386349],[0.14523144],[0.16188341],[0.2509423]
37,[0.2491586],0,[0.1463144],[0.14770568],[0.16464131],[0.25521746]
38,[0.25112301],0,[0.14746797],[0.14887024],[0.16593938],[0.25722965]
39,[0.25316429],0,[0.14866668],[0.15008033],[0.16728824],[0.25932054]
40,[0.25767132],0,[0.15131338],[0.15275218],[0.17026645],[0.26393717]
41,[0.26475176],0,[0.15547126],[0.15694959],[0.17494513],[0.27118977]
42,[0.27338048],0,[0.16053835],[0.16206485],[0.18064691],[0.28002831]
43,[0.28437358],0,[0.16699388],[0.16858176],[0.18791104],[0.29128873]
44,[0.29988548],0,[0.17610299],[0.17777748],[0.19816114],[0.30717782]
45,[0.31992429],0,[0.18787047],[0.18965685],[0.21140258],[0.32770391]
46,[0.34300094],0,[0.20142187],[0.2033371],[0.22665138],[0.35134172]
47,[0.3679352],0,[0.21606412],[0.21811857],[0.24312768],[0.3768823]
48,[0.39363619],0,[0.23115662],[0.23335458],[0.26011062],[0.40320827]
49,[0.41913315],0,[0.2461293],[0.24846963],[0.27695873],[0.42932523]
50,[0.44243874],0,[0.25981512],[0.2622856],[0.29235882],[0.45319753]
51,[0.46102556],0,[0.27072993],[0.27330423],[0.3046408],[0.47223635]
52,[0.47311813],0,[0.27783109],[0.28047291],[0.31263144],[0.48462296]
53,[0.47907509],0,[0.28132922],[0.28400427],[0.31656772],[0.49072476]
54,[0.44835552],0,[0.26328931],[0.26579318],[0.29626819],[0.45925834]
55,[0.37555661],0,[0.22053946],[0.22263725],[0.24816413],[0.38468909]
56,[0.32501606],0,[0.19086106],[0.19267546],[0.21476707],[0.3329208]
57,[0.28534291],0,[0.1675633],[0.16915651],[0.18855158],[0.2922817]
58,[0.2564879],0,[0.15061853],[0.15205104],[0.16948483],[0.26272512]
59,[0.21136032],0,[0.12411878],[0.12529901],[0.13966474],[0.21650112]
60,[0.19114099],0,[0.11224483],[0.11331187],[0.12630384],[0.19578931]
61,[0.13923101],0,[0.08176118],[0.08253878],[0.09200218],[0.14261702]
62,[0.1299361],0,[0.0763033],[0.07702819],[0.08586086],[0.13309661]
63,[0.12240374],0,[0.07187962],[0.07256304],[0.08088336],[0.12538022]
64,[0.11662445],0,[0.06848582],[0.06913728],[0.07706448],[0.11946096]
65,[0.11109744],0,[0.06524064],[0.06586186],[0.07341322],[0.1138009]
66,[0.10240819],0,[0.06013699],[0.06070982],[0.06767021],[0.10489738]
67,[0.09451642],0,[0.05550336],[0.05603126],[0.06245597],[0.09681552]
68,[0.0821664],0,[0.04825094],[0.04870973],[0.05429462],[0.08416483]
69,[0.07799414],0,[0.04580064],[0.0462361],[0.0515376],[0.07988976]
70,[0.07808094],0,[0.04585161],[0.04628755],[0.05159495],[0.07997866]
71,[0.07839818],0,[0.0460379],[0.04647561],[0.05180458],[0.08030362]
72,[0.07895593],0,[0.04636544],[0.04680626],[0.05217314],[0.08087494]
