,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,[0.11390259],0,[0.06688824],[0.06752426],[0.07526591],[0.11667324]
4,[0.10016759],0,[0.05882218],[0.0593809],[0.0661896],[0.10260344]
5,[0.08644964],0,[0.05076602],[0.05124879],[0.05712484],[0.08855141]
6,[0.0757662],0,[0.04449252],[0.04491577],[0.05006587],[0.07760871]
7,[0.06815929],0,[0.04002542],[0.04040645],[0.04503959],[0.06981786]
8,[0.06253076],0,[0.03672012],[0.03706946],[0.0413193],[0.0640508]
9,[0.05544157],0,[0.0325574],[0.03286653],[0.03663516],[0.05678958]
10,[0.05000582],0,[0.02936519],[0.02964454],[0.03304363],[0.05122156]
11,[0.04458577],0,[0.02618265],[0.02643119],[0.02946151],[0.04566997]
12,[0.03917053],0,[0.0230017],[0.02322012],[0.02588328],[0.04012301]
13,[0.03476062],0,[0.0204128],[0.02060682],[0.02297002],[0.03560651]
14,[0.03041283],0,[0.01785983],[0.01802899],[0.02009628],[0.0311524]
15,[0.02552764],0,[0.01499057],[0.01513274],[0.01686837],[0.02614768]
16,[0.02244263],0,[0.01317962],[0.01330457],[0.01483043],[0.0229887]
17,[0.01856248],0,[0.01089986],[0.0110034],[0.01226512],[0.01901302]
18,[0.01452],0,[0.00852602],[0.00860753],[0.00959388],[0.0148722]
19,[0.01100903],0,[0.00646546],[0.00652689],[0.00727522],[0.01127706]
20,[0.00983773],0,[0.00577743],[0.00583242],[0.00650121],[0.01007804]
21,[0.39004072],0,[0.22904467],[0.23122313],[0.25773448],[0.39952531]
22,[0.34041025],0,[0.19990035],[0.20180141],[0.22493932],[0.34868772]
23,[0.29047043],0,[0.17057478],[0.1721963],[0.1919399],[0.29753459]
24,[0.24612932],0,[0.14453507],[0.14590872],[0.16263917],[0.25211328]
25,[0.18331255],0,[0.10764742],[0.10867102],[0.12113132],[0.18777078]
26,[0.13834408],0,[0.08124043],[0.08201404],[0.0914168],[0.1417092]
27,[0.92856304],0,[0.54528408],[0.55046941],[0.61358435],[0.95114352]
28,[7.43142676],0,[4.36398697],[4.4054833],[4.91060709],[7.61213899]
29,[5.32714055],0,[3.12827877],[3.15802448],[3.52011698],[5.45668201]
30,[3.61134671],0,[2.12070556],[2.14087021],[2.38633856],[3.69916424]
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,[1.44261505],0,[0.84715282],[0.85520869],[0.95326489],[1.4776968]
40,[1.12058129],0,[0.6580432],[0.66430127],[0.74046766],[1.14783103]
41,[0.68226605],0,[0.40064987],[0.40445954],[0.45083379],[0.69885742]
42,[0.48250237],0,[0.28334123],[0.28603547],[0.31883233],[0.49423497]
43,[2.71419472],0,[1.59386755],[1.60902348],[1.79351077],[2.7801961]
44,[1.99588367],0,[1.1720511],[1.18319589],[1.31885844],[2.04441918]
45,[1.56595967],0,[0.91958451],[0.92832888],[1.0347693],[1.60403949]
46,[1.17425266],0,[0.6895611],[0.69611775],[0.77593353],[1.2028073]
47,[0.78338002],0,[0.46002701],[0.46440086],[0.51764785],[0.80242915]
48,[0.39996426],0,[0.2348724],[0.23710605],[0.26429218],[0.40969085]
49,[0.10307338],0,[0.06052789],[0.06110405],[0.06810914],[0.10557949]
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,[0.13539727],0,[0.07950992],[0.08026556],[0.08946878],[0.13869021]
71,[0.09547138],0,[0.05606488],[0.0565974],[0.06308704],[0.09779434]
72,[0.07361226],0,[0.04322781],[0.04363936],[0.04864284],[0.07540377]
73,[0.44054889],0,[0.25870467],[0.26116542],[0.29110986],[0.45126198]
74,[0.35228438],0,[0.2068733],[0.20884036],[0.23278579],[0.36085114]
75,[0.26843899],0,[0.15763687],[0.15913576],[0.17738129],[0.27496759]
76,[0.17822048],0,[0.10465714],[0.10565231],[0.11776605],[0.18255505]
77,[0.11988922],0,[0.07040276],[0.0710727],[0.07922127],[0.12280496]
78,[0.08207731],0,[0.04819819],[0.04865689],[0.05423559],[0.08407309]
79,[0.05838007],0,[0.03428363],[0.03460903],[0.03857781],[0.05980179]
80,[0.02508665],0,[0.01473163],[0.01487228],[0.01657705],[0.02569765]
81,0,0,0,0,0,0
82,[0.32695734],0,[0.19199897],[0.19382613],[0.21604864],[0.33490707]
83,[0.24998447],0,[0.14679835],[0.14819551],[0.16518672],[0.25606252]
84,[0.1712347],0,[0.10055472],[0.10151221],[0.11315038],[0.17539902]
85,[0.09347907],0,[0.05489297],[0.05541677],[0.06176992],[0.09575206]
86,[0.05086932],0,[0.0298719],[0.03015638],[0.03361329],[0.05210623]
87,[0.01667436],0,[0.00979159],[0.00988494],[0.01101836],[0.01708031]
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,[0.83547463],0,[0.49061881],[0.49528487],[0.55207274],[0.85579163]
91,[0.58248679],0,[0.34205627],[0.34530882],[0.38490111],[0.59665099]
92,[0.28245672],0,[0.16586874],[0.16744571],[0.18664521],[0.28932598]
93,[0.21090073],0,[0.12384814],[0.12502615],[0.13936115],[0.21602983]
