,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
0,[0.],[0.],[0.],[0.],[0.],[0.]
1,[0.],[0.],[0.],[0.],[0.],[0.]
2,[0.],[0.],[0.],[0.],[0.],[0.]
3,[0.11682317],[0.],[0.06860333],[0.06925565],[0.07719581],[0.11966486]
4,[0.10857715],[0.],[0.06376061],[0.06436627],[0.07174656],[0.11121754]
5,[0.09964426],[0.],[0.0585144],[0.05907082],[0.06584371],[0.10206691]
6,[0.09312019],[0.],[0.05468342],[0.05520355],[0.06153322],[0.09538474]
7,[0.08920368],[0.],[0.05238346],[0.05288198],[0.05894554],[0.09137405]
8,[0.08692618],[0.],[0.05104598],[0.05153155],[0.05743958],[0.08903952]
9,[0.08286192],[0.],[0.04865962],[0.04912186],[0.05475427],[0.08487677]
10,[0.08012995],[0.],[0.04705517],[0.04750272],[0.05294938],[0.08207827]
11,[0.07713533],[0.],[0.04529693],[0.0457272],[0.05096995],[0.07901107]
12,[0.07386768],[0.],[0.04337712],[0.04378925],[0.04881082],[0.07566394]
13,[0.07135344],[0.],[0.04190141],[0.04229971],[0.04715021],[0.07308922]
14,[0.06867677],[0.],[0.04032979],[0.04071254],[0.04538074],[0.07034688]
15,[0.06522595],[0.],[0.03830285],[0.03866659],[0.04310064],[0.06681139]
16,[0.06337094],[0.],[0.03721421],[0.03756758],[0.04187549],[0.06491232]
17,[0.06054221],[0.],[0.03555187],[0.0358897],[0.04000493],[0.0620136]
18,[0.057348],[0.],[0.03367613],[0.03399667],[0.03789418],[0.05874163]
19,[0.05449162],[0.],[0.03199997],[0.0323041],[0.03600806],[0.05581699]
20,[0.05385485],[0.],[0.03162586],[0.03192653],[0.0355873],[0.05516554]
21,[0.44431114],[0.],[0.26091418],[0.26339558],[0.29359584],[0.45511546]
22,[0.41341018],[0.],[0.24276845],[0.24507706],[0.27317693],[0.42346282]
23,[0.37964678],[0.],[0.22294224],[0.22506163],[0.25086672],[0.38887949]
24,[0.34906464],[0.],[0.20498227],[0.20693059],[0.23065776],[0.35755171]
25,[0.2972592],[0.],[0.17456083],[0.17622058],[0.19642608],[0.30448829]
26,[0.26053834],[0.],[0.15299712],[0.15445296],[0.1721615],[0.26687491]
27,[1.07811389],[0.],[0.6331055],[0.63912586],[0.71240602],[1.1043311]
28,[7.79533632],[0.],[4.57768714],[4.62121546],[5.15107469],[7.98489792]
29,[6.01819286],[0.],[3.53408832],[3.56769274],[3.97675699],[6.16453891]
30,[4.53159101],[0.],[2.66110445],[2.68640755],[2.99442614],[4.64178643]
31,[0.82735862],[0.],[0.48585312],[0.49047293],[0.54670982],[0.84747773]
32,[0.74957616],[0.],[0.44017603],[0.44436211],[0.49531133],[0.7678031]
33,[0.6124585],[0.],[0.35965728],[0.36307699],[0.40470624],[0.62735213]
34,[0.51324019],[0.],[0.30139171],[0.3042576],[0.33914333],[0.52572067]
35,[0.41331341],[0.],[0.24271142],[0.24501917],[0.27311299],[0.42336432]
36,[0.35347622],[0.],[0.20757254],[0.20954678],[0.2335729],[0.3620713]
37,[0.30344026],[0.],[0.1781905],[0.17988566],[0.20051021],[0.31081968]
38,[0.27345341],[0.],[0.16058131],[0.162108],[0.18069523],[0.28010275]
39,[1.75305859],[0.],[1.029456],[1.03924512],[1.15840282],[1.79568922]
40,[1.49674781],[0.],[0.87894115],[0.88729949],[0.98903462],[1.53314467]
41,[1.10465942],[0.],[0.64869379],[0.65486189],[0.72994694],[1.13152205]
42,[0.9347616],[0.],[0.54892339],[0.55414282],[0.61768051],[0.95749171]
43,[3.24842054],[0.],[1.90758326],[1.92572208],[2.1465216],[3.32741261]
44,[2.65088074],[0.],[1.55668781],[1.57148986],[1.7516736],[2.71534378]
45,[2.31228605],[0.],[1.3578529],[1.37076451],[1.52793389],[2.3685143]
46,[1.9908409],[0.],[1.16908963],[1.18020586],[1.3155264],[2.03925254]
47,[1.65016397],[0.],[0.96903216],[0.97824586],[1.09040947],[1.69029072]
48,[1.29709037],[0.],[0.76169549],[0.7689384],[0.85710355],[1.32863242]
49,[1.01309789],[0.],[0.59492534],[0.60058282],[0.66944362],[1.03773312]
50,[0.86046538],[0.],[0.50529398],[0.51009955],[0.5685863],[0.88138886]
51,[0.76788518],[0.],[0.45092851],[0.45521654],[0.50741078],[0.78655882]
52,[0.63786874],[0.],[0.3745777],[0.3781391],[0.42149635],[0.6533784]
53,[0.54664589],[0.],[0.3210097],[0.32406134],[0.36121766],[0.55993939]
54,[0.44835552],[0.],[0.26328931],[0.26579318],[0.29626819],[0.45925834]
55,[0.37555661],[0.],[0.22053946],[0.22263725],[0.24816413],[0.38468909]
56,[0.32501606],[0.],[0.19086106],[0.19267546],[0.21476707],[0.3329208]
57,[0.28534291],[0.],[0.1675633],[0.16915651],[0.18855158],[0.2922817]
58,[0.2564879],[0.],[0.15061853],[0.15205104],[0.16948483],[0.26272512]
59,[0.21136032],[0.],[0.12411878],[0.12529901],[0.13966474],[0.21650112]
60,[0.19114099],[0.],[0.11224483],[0.11331187],[0.12630384],[0.19578931]
61,[0.13923101],[0.],[0.08176118],[0.08253878],[0.09200218],[0.14261702]
62,[0.1299361],[0.],[0.0763033],[0.07702819],[0.08586086],[0.13309661]
63,[0.12240374],[0.],[0.07187962],[0.07256304],[0.08088336],[0.12538022]
64,[0.11662445],[0.],[0.06848582],[0.06913728],[0.07706448],[0.11946096]
65,[0.11109744],[0.],[0.06524064],[0.06586186],[0.07341322],[0.1138009]
66,[0.10240819],[0.],[0.06013699],[0.06070982],[0.06767021],[0.10489738]
67,[0.09451642],[0.],[0.05550336],[0.05603126],[0.06245597],[0.09681552]
68,[0.0821664],[0.],[0.04825094],[0.04870973],[0.05429462],[0.08416483]
