,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,[0.00284756],0,[0.00167221],[0.00168811],[0.00188165],[0.00291683]
4,[0.00805694],0,[0.00473136],[0.00477633],[0.00532395],[0.00825291]
5,[0.01231952],0,[0.00723449],[0.00730326],[0.00814062],[0.01261913]
6,[0.01575894],0,[0.00925423],[0.00934221],[0.01041335],[0.01614218]
7,[0.01856913],0,[0.01090447],[0.01100815],[0.01227032],[0.01902073]
8,[0.02090793],0,[0.01227788],[0.01239464],[0.01381578],[0.02141641]
9,[0.02281184],0,[0.01339593],[0.01352331],[0.01507385],[0.0233666]
10,[0.02430743],0,[0.0142742],[0.01440992],[0.01606213],[0.02489855]
11,[0.02545685],0,[0.01494918],[0.01509132],[0.01682165],[0.02607591]
12,[0.02627792],0,[0.01543133],[0.01557803],[0.01736419],[0.02691694]
13,[0.0268123],0,[0.01574513],[0.01589481],[0.01771731],[0.02746433]
14,[0.02710102],0,[0.01591469],[0.01606596],[0.0179081],[0.02776009]
15,[0.02714448],0,[0.01594021],[0.01609171],[0.01793681],[0.02780459]
16,[0.02698651],0,[0.01584746],[0.01599805],[0.01783244],[0.02764277]
17,[0.02666232],0,[0.01565707],[0.01580585],[0.01761821],[0.02731067]
18,[0.02615626],0,[0.01535987],[0.01550583],[0.01728377],[0.02679227]
19,[0.02548667],0,[0.01496666],[0.0151089],[0.01684131],[0.02610639]
20,[0.02473351],0,[0.0145244],[0.01466244],[0.01634366],[0.02533494]
21,[0.0334938],0,[0.01966873],[0.0198557],[0.02213237],[0.03430828]
22,[0.05008038],0,[0.02940892],[0.02968853],[0.03309259],[0.05129819]
23,[0.06334838],0,[0.03720035],[0.03755405],[0.04185994],[0.06488884]
24,[0.07359595],0,[0.04321808],[0.04362897],[0.04863142],[0.07538559]
25,[0.0806522],0,[0.04736174],[0.04781202],[0.05329412],[0.08261342]
26,[0.08466101],0,[0.04971585],[0.05018854],[0.05594311],[0.08671974]
27,[0.10710064],0,[0.06289317],[0.0634912],[0.07077099],[0.10970508]
28,[0.31074535],0,[0.18248029],[0.18421546],[0.20533722],[0.31830188]
29,[0.61417226],0,[0.36066292],[0.36409238],[0.40583846],[0.62910732]
30,[0.80692583],0,[0.47385438],[0.47836013],[0.53320793],[0.82654811]
31,[0.67601601],0,[0.39697953],[0.40075431],[0.44670421],[0.69245485]
32,[0.56637731],0,[0.3325954],[0.33575855],[0.37425547],[0.58014935]
33,[0.40436872],0,[0.23745984],[0.23971763],[0.26720274],[0.41420218]
34,[0.28741244],0,[0.16877792],[0.17038284],[0.18991876],[0.2944014]
35,[0.1756132],0,[0.10312574],[0.10410623],[0.11604324],[0.17988389]
36,[0.10849129],0,[0.06370905],[0.06431535],[0.07168949],[0.111129]
37,[0.05428165],0,[0.0318761],[0.03217999],[0.03586889],[0.05560222]
38,[0.02233039],0,[0.01311334],[0.01323776],[0.01475585],[0.0228731]
39,[0.05727925],0,[0.03363649],[0.03395609],[0.03784968],[0.05867187]
40,[0.1184952],0,[0.06958457],[0.07024604],[0.07830051],[0.12137647]
41,[0.15764162],0,[0.09257267],[0.09345276],[0.10416802],[0.16147486]
42,[0.17887875],0,[0.10504381],[0.10604249],[0.11820127],[0.18322843]
43,[0.24985224],0,[0.14672184],[0.14811684],[0.16509978],[0.25592778]
44,[0.35511159],0,[0.20853372],[0.21051648],[0.23465403],[0.36374677]
45,[0.42640209],0,[0.25039792],[0.25277878],[0.28176202],[0.4367709]
46,[0.4735873],0,[0.27810666],[0.28075101],[0.31294149],[0.48510353]
47,[0.49884875],0,[0.29294103],[0.29572642],[0.32963395],[0.51097926]
48,[0.50348992],0,[0.29566647],[0.29847777],[0.33270075],[0.5157333]
49,[0.49089136],0,[0.28826815],[0.29100914],[0.32437575],[0.50282839]
50,[0.41802664],0,[0.24547886],[0.24781395],[0.27622749],[0.42819133]
51,[0.30685962],0,[0.18019858],[0.18191232],[0.20276998],[0.31432247]
52,[0.1647506],0,[0.09674661],[0.0976662],[0.10886491],[0.16875544]
53,[0.0675708],0,[0.03968048],[0.04005707],[0.04464995],[0.06921463]
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,[0.00338493],0,[0.00198775],[0.00200664],[0.00223672],[0.00346726]
71,[0.0089874],0,[0.00527773],[0.00532788],[0.00593878],[0.00920601]
72,[0.01276512],0,[0.00749616],[0.00756741],[0.00843509],[0.01307566]
73,[0.02498089],0,[0.01466967],[0.01480915],[0.01650715],[0.02558852]
74,[0.04355268],0,[0.02557563],[0.02581884],[0.02877918],[0.04461192]
75,[0.05689313],0,[0.0334096],[0.0337273],[0.0375944],[0.05827679]
76,[0.06521496],0,[0.03829647],[0.03866064],[0.04309337],[0.06680102]
77,[0.06940696],0,[0.04075815],[0.04114573],[0.04586338],[0.07109497]
78,[0.07098577],0,[0.04168526],[0.04208169],[0.04690663],[0.07271217]
79,[0.07094792],0,[0.04166305],[0.04205925],[0.04688164],[0.07267344]
80,[0.06948719],0,[0.04080528],[0.04119332],[0.04591643],[0.07117725]
81,[0.06631649],0,[0.03894402],[0.03931333],[0.04382143],[0.06792978]
82,[0.0711746],0,[0.04179679],[0.04219332],[0.04703158],[0.07290597]
83,[0.08203941],0,[0.04817688],[0.04863419],[0.05421088],[0.08403491]
